window_id,block_start,block_end,mev_intensity,mev_regime,modularity,spectral_gap,eff_connectivity,avg_path_length,giant_component_pct,avg_eff_resistance,volatility,gas_price_gwei,volume_usd_m,active_pools,nodes,edges,avg_slippage_pct,avg_route_hops,failed_routes_pct,median_exec_cost_usd,hhi_builders,data_source
57,22270000,22280000,0.730630837799563,high,0.20291319038324895,0.09729838828703187,0.9678714859437751,2.4989642834724752,0.988950276243094,0.0,0.031544490250305,0.40267987720000004,387.43097107325036,223,181,199,0.4772954889341953,2.599419998744586,0.0,25.690286571998854,0.48710057445685706,real
58,22280000,22290000,0.6994049392667463,high,0.2086298758068845,0.10519251104654033,0.9577464788732394,2.49528243327126,0.989010989010989,0.0,0.03164057993460174,0.5536221514,387.43097107325036,225,182,201,0.4836734226048659,2.5973581626319056,0.0,25.9868076562551,0.40378704223590123,real
59,22290000,22300000,0.6860324998683458,high,0.21646615304179725,0.104630162711763,0.9577464788732394,2.49528243327126,0.989010989010989,0.0,0.03178395215648058,0.35361677280000003,387.43097107325036,225,182,201,0.4903342582545417,2.5973581626319056,0.0,26.296481339124682,0.4534613505850827,real
60,22300000,22310000,0.6910642298683578,high,0.2098321877079898,0.11222923464523236,0.9798387096774194,2.5001841620626153,0.9890710382513661,0.0,0.03146046175993386,0.3332311994,387.43097107325036,226,183,202,0.4813815531001784,2.6001031307550644,0.0,25.880254708922184,0.375939598798869,real
61,22310000,22320000,0.6630825804126432,high,0.20986313528927206,0.1391377628495509,0.9678714859437751,2.4981482605791996,0.9891304347826086,0.0,0.03192302666132844,0.47662809720000004,387.43097107325036,227,184,203,0.48320294210431497,2.598963025924352,0.0,25.96493421019116,0.405186481265484,real
62,22320000,22330000,0.5069699860413579,high,0.20385878205716568,0.1643133531178178,0.9518072289156626,2.4981482605791996,0.9891304347826086,0.0,0.03171423290018056,0.8902117928000001,387.43097107325036,228,184,203,0.4805088804112414,2.598963025924352,0.0,25.83968265764571,0.35767058636969334,real
63,22330000,22340000,0.48459287889261005,high,0.20881996396336627,0.19390036868956623,0.9518072289156626,2.4981482605791996,0.9891304347826086,0.0,0.04388400870250655,1.6050774916000001,387.43097107325036,228,184,203,0.4847258850315119,2.598963025924352,0.0,26.035738441051926,0.3614238214978224,real
64,22340000,22350000,0.504648843398076,high,0.20535207825933585,0.2081070193072188,0.9518072289156626,2.4981482605791996,0.9891304347826086,0.0,0.04370299039634043,0.9322201877999999,387.43097107325036,228,184,203,0.4817781821830861,2.598963025924352,0.0,25.898694675811804,0.37319633475301606,real
65,22350000,22360000,0.3889129608517819,medium,0.20464645135750567,0.20731075243631739,0.9518072289156626,2.4981482605791996,0.9891304347826086,0.0,0.04453612125534049,0.5139317988000001,387.43097107325036,228,184,203,0.4811783993165304,2.598963025924352,0.0,25.87080974080107,0.32936560139671056,real
66,22360000,22370000,0.3028672233875798,medium,0.20628189860023358,0.22455819141150477,0.9518072289156626,2.4981482605791996,0.9891304347826086,0.0,0.06377333787816035,0.7068906326000001,387.43097107325036,229,184,203,0.4825685294728491,2.598963025924352,0.0,25.93543927796676,0.2606851371875788,real
67,22370000,22380000,0.2997385693334639,medium,0.20265420136182205,0.22556245780191894,0.9538152610441767,2.5117698343504795,0.9893617021276596,0.0,0.06466196970110077,0.43065546499999996,387.43097107325036,234,188,208,0.47918378200092226,2.6065911072362686,0.0,25.778076557980402,0.25602487395344853,real
68,22380000,22390000,0.3093074546063412,medium,0.22736863191960227,0.22214100681484866,0.9798792756539235,2.5161290322580645,0.9894179894179894,0.0,0.0668750038813146,0.7159800003999999,387.43097107325036,235,189,209,0.4962814457835734,2.609032258064516,0.0,26.57297629586798,0.2994622582802511,real
